sec,date,sales,cur.asset,cash.and.st.invest,cur.liab,tot.debt,tot.asset,tot.invest,tot.liab,lt.debt,st.debt,lt.invest,st.invest,pref.stk,accts.rec,inventory,net.fixed.asset,cash,earnings
MTDR US Equity,12/31/14,372.734,112.418,9.016,142.036,338.199,1434.49,0,567.949,338.199,0,0,0,0,44.992,1.212,1322.072,9.016,110.771
MTDR US Equity,12/31/15,355.434,127.007,61.089,136.83,391.254,1140.861,0,651.902,391.254,0,0,0,0,44.409,2.022,1012.406,61.089,-679.785
MGNX US Equity,12/31/14,47.797,164.737,157.591,27.094,8.006,173.886,0,52.6,6.364,1.642,0,0,0,2.935,0,6.785,157.591,-38.313
MGNX US Equity,12/31/15,100.854,342.384,339.049,23.288,4.713,359.269,142.877,45.932,2.693,2.02,0,142.877,0,1.224,0,14.841,196.172,-20.14
MAIN US Equity,12/31/14,140.761,NA,60.432,NA,706.604,1693.785,1572.397,753.803,222.781,483.823,1572.397,NA,0,NA,NA,NA,60.432,100.744
MAIN US Equity,12/31/15,164.588,NA,20.331,NA,780.398,1878.928,1803.689,808.034,223.66,556.738,1803.689,NA,0,NA,NA,NA,20.331,104.437
LPI US Equity,12/31/14,820.695,365.253,29.321,425.025,1801.295,3932.549,0,2369.348,1801.295,0,0,0,0,126.929,0,3354.082,29.321,265.573
LPI US Equity,12/31/15,861.921,332.232,31.154,216.815,1416.226,1813.287,0,1681.84,1416.226,0,0,0,0,87.699,0,1200.255,31.154,-2209.936
LNDNY US Equity,12/31/14,785.2,659.2,80.5,648,2654,5092,37,4626.3,2654,0,37,0,0,40.3,41.6,4382.9,80.5,-427.2
LNDNY US Equity,12/31/15,569.3,541.5,71.9,421.5,3834.8,4785.3,10.7,5259.4,3834.8,0,10.7,0,0,35.2,45.6,4219.7,71.9,-861.7
PODD US Equity,12/31/14,288.72,208.196,151.193,44.296,169.663,297.182,0,213.353,166.283,3.38,0,0,0,39.882,13.099,37.069,151.193,-51.5
PODD US Equity,12/31/15,296.121,190.761,122.672,65.156,177.486,275.126,0,241.075,171.967,5.519,0,0,0,48.387,14.043,41.793,122.672,-73.52
PTLA US Equity,12/31/14,9.626,315.077,309.273,41.131,0,416.495,334.789,68.693,0,0,83.03,251.759,0,0,0,2.776,57.514,-137.125
PTLA US Equity,12/31/15,12.07,465.577,444.201,51.146,0,502.924,273.673,72.601,0,0,15.96,257.713,0,0,0,6.243,186.488,-226.506
PXD US Equity,12/31/14,4433,2359,1025,1419,2648,14909,0,6320,2648,0,0,0,0,436,241,11781,1025,929
PXD US Equity,12/31/15,4018,3194,1391,1462,3655,15154,0,6779,3207,448,0,0,0,384,155,11545,1391,-273
